Question,Answer Disease,Answer Index,Number of Symptoms,llama38b_Answer,extracted,check
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Skin polyp 2) Chronic obstructive pulmonary disease (COPD) 3) Asperger syndrome 4) Pick disease",Pick disease,4,4,"4) Pick disease
Explanation: Pick disease is a rare neurodegenerative disorder characterized by the presence of Pick bodies",4,same
"A patient is presenting with the following symptoms: Lip swelling, Facial pain, Mouth pain, Dry lips. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the lip 2) Cystic Fibrosis 3) Premature atrial contractions (PACs) 4) Psoriasis",Open wound of the lip,1,4,"1) Open wound of the lip
Explanation: The symptoms of lip swelling, facial pain, mouth pain, and dry",1,same
"A patient is presenting with the following symptoms: Lip swelling, Facial pain, Mouth pain, Dry lips. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cystic Fibrosis 2) Open wound of the lip 3) Premature atrial contractions (PACs) 4) Psoriasis",Open wound of the lip,2,4,"2) Open wound of the lip
Explanation: The symptoms of lip swelling, facial pain, mouth pain, and dry",2,same
"A patient is presenting with the following symptoms: Lip swelling, Facial pain, Mouth pain, Dry lips. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature atrial contractions (PACs) 2) Cystic Fibrosis 3) Open wound of the lip 4) Psoriasis",Open wound of the lip,3,4,"3) Open wound of the lip
Explanation: The symptoms of lip swelling, facial pain, mouth pain, and dry",3,same
"A patient is presenting with the following symptoms: Lip swelling, Facial pain, Mouth pain, Dry lips. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature atrial contractions (PACs) 2) Psoriasis 3) Cystic Fibrosis 4) Open wound of the lip",Open wound of the lip,4,4,"2) Psoriasis
Explanation: The symptoms of lip swelling, facial pain, mouth pain, and dry lips are consistent",2,different
"A patient is presenting with the following symptoms: Problems during pregnancy, Pain during pregnancy, Uterine contractions, Sweating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subacute thyroiditis 2) Oral mucosal lesion 3) Open wound of the knee 4) Amyloidosis",Subacute thyroiditis,1,4,"1) Subacute thyroiditis
Explanation: The symptoms described are consistent with a patient experiencing a thyroid storm, which is",1,same
"A patient is presenting with the following symptoms: Problems during pregnancy, Pain during pregnancy, Uterine contractions, Sweating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Subacute thyroiditis 3) Amyloidosis 4) Open wound of the knee",Subacute thyroiditis,2,4,"1) Oral mucosal lesion
Explanation: The symptoms described are consistent with preterm labor, which is a common complication",1,different
"A patient is presenting with the following symptoms: Problems during pregnancy, Pain during pregnancy, Uterine contractions, Sweating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Amyloidosis 2) Oral mucosal lesion 3) Subacute thyroiditis 4) Open wound of the knee",Subacute thyroiditis,3,4,"1) Amyloidosis
Explanation: The symptoms described are consistent with preterm labor, which is a common complication of",1,different
"A patient is presenting with the following symptoms: Problems during pregnancy, Pain during pregnancy, Uterine contractions, Sweating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Open wound of the knee 3) Amyloidosis 4) Subacute thyroiditis",Subacute thyroiditis,4,4,"1) Oral mucosal lesion
Explanation: The symptoms described are consistent with preterm labor, which is a common complication",1,different
"A patient is presenting with the following symptoms: Toothache, Mouth pain, Mouth ulcer, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Fracture of the neck 3) Presbyopia 4) Injury to the abdomen",Oral mucosal lesion,1,4,"Oral mucosal lesion
Explanation: The patient is presenting with symptoms of toothache, mouth pain, mouth ulcer, and sore",,different
"A patient is presenting with the following symptoms: Toothache, Mouth pain, Mouth ulcer, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the abdomen 2) Oral mucosal lesion 3) Presbyopia 4) Fracture of the neck",Oral mucosal lesion,2,4,"2) Oral mucosal lesion
Explanation: The patient is presenting with symptoms of toothache, mouth pain, mouth ulcer",2,same
"A patient is presenting with the following symptoms: Toothache, Mouth pain, Mouth ulcer, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Presbyopia 2) Fracture of the neck 3) Oral mucosal lesion 4) Injury to the abdomen",Oral mucosal lesion,3,4,"3) Oral mucosal lesion
Explanation: The symptoms of toothache, mouth pain, mouth ulcer, and sore throat",3,same
"A patient is presenting with the following symptoms: Toothache, Mouth pain, Mouth ulcer, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Presbyopia 2) Fracture of the neck 3) Injury to the abdomen 4) Oral mucosal lesion",Oral mucosal lesion,4,4,"4) Oral mucosal lesion
Explanation: The symptoms of toothache, mouth pain, mouth ulcer, and sore throat",4,same
"A patient is presenting with the following symptoms: Skin on arm or hand looks infected, Wrist swelling, Shoulder stiffness or tightness, pain, swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound due to trauma 2) Emphysema 3) Knee ligament or meniscus tear 4) Choledocholithiasis",Open wound due to trauma,1,5,"1) Open wound due to trauma
Explanation: The symptoms of skin infection, wrist swelling, and shoulder stiffness or tight",1,same
"A patient is presenting with the following symptoms: Skin on arm or hand looks infected, Wrist swelling, Shoulder stiffness or tightness, pain, swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Knee ligament or meniscus tear 2) Open wound due to trauma 3) Emphysema 4) Choledocholithiasis",Open wound due to trauma,2,5,"2) Open wound due to trauma
Explanation: The symptoms of skin infection, wrist swelling, and shoulder stiffness or tight",2,same
"A patient is presenting with the following symptoms: Skin on arm or hand looks infected, Wrist swelling, Shoulder stiffness or tightness, pain, swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Knee ligament or meniscus tear 2) Emphysema 3) Open wound due to trauma 4) Choledocholithiasis",Open wound due to trauma,3,5,"3) Open wound due to trauma
Explanation: The symptoms of skin infection, wrist swelling, shoulder stiffness or tightness",3,same
"A patient is presenting with the following symptoms: Skin on arm or hand looks infected, Wrist swelling, Shoulder stiffness or tightness, pain, swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Knee ligament or meniscus tear 2) Emphysema 3) Choledocholithiasis 4) Open wound due to trauma",Open wound due to trauma,4,5,"4) Open wound due to trauma
Explanation: The symptoms of the patient, including skin infection, wrist swelling, shoulder",4,same
"A patient is presenting with the following symptoms: Headache, Dizziness, Weakness, Focal weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Intracerebral hemorrhage 2) Thrombocytopenia 3) Envenomation from spider or animal bite 4) Dry eye of unknown cause",Intracerebral hemorrhage,1,5,"1) Intracerebral hemorrhage
Explanation: The patient's symptoms, including headache, dizziness, weakness,",1,same
"A patient is presenting with the following symptoms: Headache, Dizziness, Weakness, Focal weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thrombocytopenia 2) Intracerebral hemorrhage 3) Envenomation from spider or animal bite 4) Dry eye of unknown cause",Intracerebral hemorrhage,2,5,"2) Intracerebral hemorrhage
Explanation: The patient's symptoms, including headache, dizziness, weakness,",2,same
"A patient is presenting with the following symptoms: Headache, Dizziness, Weakness, Focal weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dry eye of unknown cause 2) Thrombocytopenia 3) Intracerebral hemorrhage 4) Envenomation from spider or animal bite",Intracerebral hemorrhage,3,5,"3) Intracerebral hemorrhage
Explanation: The symptoms of headache, dizziness, weakness, focal weakness,",3,same
"A patient is presenting with the following symptoms: Headache, Dizziness, Weakness, Focal weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Envenomation from spider or animal bite 2) Thrombocytopenia 3) Dry eye of unknown cause 4) Intracerebral hemorrhage",Intracerebral hemorrhage,4,5,"4) Intracerebral hemorrhage
Explanation: The symptoms of headache, dizziness, weakness, focal weakness,",4,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Problems with movement, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Alzheimer disease 2) Fracture of the foot 3) Degenerative disc disease 4) Dislocation of the foot",Alzheimer disease,1,5,"1) Alzheimer disease
Explanation: The patient is presenting with symptoms of memory disturbance, depressive or psychotic symptoms, depression,",1,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Problems with movement, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Degenerative disc disease 2) Alzheimer disease 3) Dislocation of the foot 4) Fracture of the foot",Alzheimer disease,2,5,"2) Alzheimer disease
Explanation: The symptoms described, such as disturbance of memory, depressive or psychotic symptoms, depression,",2,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Problems with movement, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the foot 2) Fracture of the foot 3) Alzheimer disease 4) Degenerative disc disease",Alzheimer disease,3,5,"3) Alzheimer disease
Explanation: The symptoms described, such as disturbance of memory, depressive or psychotic symptoms, depression,",3,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Problems with movement, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Degenerative disc disease 2) Fracture of the foot 3) Dislocation of the foot 4) Alzheimer disease",Alzheimer disease,4,5,"4) Alzheimer disease
Explanation: The patient is presenting with symptoms of memory disturbance, depressive or psychotic symptoms, depression,",4,same
"A patient is presenting with the following symptoms: Pain during intercourse, Pelvic pain, Vaginal pain, Sharp abdominal pain, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginismus 2) Fracture of the pelvis 3) Sporotrichosis 4) Sarcoidosis",Vaginismus,1,5,"1) Vaginismus
Explanation: Vaginismus is a condition characterized by involuntary contraction of the vaginal muscles",1,same
"A patient is presenting with the following symptoms: Pain during intercourse, Pelvic pain, Vaginal pain, Sharp abdominal pain, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sarcoidosis 2) Vaginismus 3) Fracture of the pelvis 4) Sporotrichosis",Vaginismus,2,5,"2) Vaginismus
Explanation: Vaginismus is a condition characterized by involuntary contraction of the vaginal muscles",2,same
"A patient is presenting with the following symptoms: Pain during intercourse, Pelvic pain, Vaginal pain, Sharp abdominal pain, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sporotrichosis 2) Fracture of the pelvis 3) Vaginismus 4) Sarcoidosis",Vaginismus,3,5,"3) Vaginismus
Explanation: Vaginismus is a condition characterized by involuntary contraction of the vaginal muscles",3,same
"A patient is presenting with the following symptoms: Pain during intercourse, Pelvic pain, Vaginal pain, Sharp abdominal pain, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sporotrichosis 2) Fracture of the pelvis 3) Sarcoidosis 4) Vaginismus",Vaginismus,4,5,"4) Vaginismus
Explanation: Vaginismus is a condition characterized by involuntary contraction of the vaginal muscles",4,same
"A patient is presenting with the following symptoms: Sharp chest pain, Ache all over, Joint pain, Knee pain, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Systemic lupus erythematosis (SLE) 2) Tracheitis 3) Mittelschmerz 4) Corneal disorder",Systemic lupus erythematosis (SLE),1,5,1) Systemic lupus erythematosis (SLE) 5) Rheumatoid arthritis 6),1,same
"A patient is presenting with the following symptoms: Sharp chest pain, Ache all over, Joint pain, Knee pain, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tracheitis 2) Systemic lupus erythematosis (SLE) 3) Mittelschmerz 4) Corneal disorder",Systemic lupus erythematosis (SLE),2,5,2) Systemic lupus erythematosis (SLE) 5) Rheumatoid arthritis 6),2,same
"A patient is presenting with the following symptoms: Sharp chest pain, Ache all over, Joint pain, Knee pain, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tracheitis 2) Mittelschmerz 3) Systemic lupus erythematosis (SLE) 4) Corneal disorder",Systemic lupus erythematosis (SLE),3,5,3) Systemic lupus erythematosis (SLE) 5) Rheumatoid arthritis 6),3,same
"A patient is presenting with the following symptoms: Sharp chest pain, Ache all over, Joint pain, Knee pain, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Mittelschmerz 2) Tracheitis 3) Corneal disorder 4) Systemic lupus erythematosis (SLE)",Systemic lupus erythematosis (SLE),4,5,4) Systemic lupus erythematosis (SLE)  #SystemicLupusErythem,4,same
"A patient is presenting with the following symptoms: Infertility, Unpredictable menstruation, Absence of menstruation, Pelvic pain, Weight gain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature ovarian failure 2) Fungal infection of the skin 3) Aphthous ulcer 4) Essential tremor",Premature ovarian failure,1,5,"1) Premature ovarian failure
Explanation: The patient is presenting with symptoms of infertility, unpredictable menstruation, and absence",1,same
"A patient is presenting with the following symptoms: Infertility, Unpredictable menstruation, Absence of menstruation, Pelvic pain, Weight gain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aphthous ulcer 2) Premature ovarian failure 3) Essential tremor 4) Fungal infection of the skin",Premature ovarian failure,2,5,"2) Premature ovarian failure
Explanation: The symptoms described, such as infertility, unpredictable menstruation, absence of menstr",2,same
"A patient is presenting with the following symptoms: Infertility, Unpredictable menstruation, Absence of menstruation, Pelvic pain, Weight gain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fungal infection of the skin 2) Essential tremor 3) Premature ovarian failure 4) Aphthous ulcer",Premature ovarian failure,3,5,"3) Premature ovarian failure
Explanation: The patient is presenting with symptoms of infertility, unpredictable menstruation, and absence",3,same
"A patient is presenting with the following symptoms: Infertility, Unpredictable menstruation, Absence of menstruation, Pelvic pain, Weight gain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fungal infection of the skin 2) Aphthous ulcer 3) Essential tremor 4) Premature ovarian failure",Premature ovarian failure,4,5,"4) Premature ovarian failure
Explanation: The symptoms described, such as infertility, unpredictable menstruation, absence of menstr",4,same
"A patient is presenting with the following symptoms: Neck pain, Arm pain, Shoulder pain, Loss of sensation, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic outlet syndrome 2) Erectile dysfunction 3) Pelvic fistula 4) Skin disorder",Thoracic outlet syndrome,1,5,"1) Thoracic outlet syndrome
Explanation: The symptoms of neck pain, arm pain, shoulder pain, loss of sensation",1,same
"A patient is presenting with the following symptoms: Neck pain, Arm pain, Shoulder pain, Loss of sensation, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic fistula 2) Thoracic outlet syndrome 3) Erectile dysfunction 4) Skin disorder",Thoracic outlet syndrome,2,5,"2) Thoracic outlet syndrome
Explanation: Thoracic outlet syndrome is a condition where the nerves and blood vessels in the",2,same
"A patient is presenting with the following symptoms: Neck pain, Arm pain, Shoulder pain, Loss of sensation, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Skin disorder 2) Pelvic fistula 3) Thoracic outlet syndrome 4) Erectile dysfunction",Thoracic outlet syndrome,3,5,"3) Thoracic outlet syndrome
Explanation: Thoracic outlet syndrome is a condition where the nerves and blood vessels in the",3,same
"A patient is presenting with the following symptoms: Neck pain, Arm pain, Shoulder pain, Loss of sensation, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic fistula 2) Skin disorder 3) Erectile dysfunction 4) Thoracic outlet syndrome",Thoracic outlet syndrome,4,5,"4) Thoracic outlet syndrome
Explanation: Thoracic outlet syndrome is a condition where the nerves and blood vessels in the",4,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Wrist pain, Skin growth, Wrist lump or mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ganglion cyst 2) Open wound of the hand 3) Cardiomyopathy 4) Epididymitis",Ganglion cyst,1,5,"1) Ganglion cyst
Explanation: Ganglion cysts are benign, non-cancerous growths that can occur",1,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Wrist pain, Skin growth, Wrist lump or mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cardiomyopathy 2) Ganglion cyst 3) Epididymitis 4) Open wound of the hand",Ganglion cyst,2,5,"2) Ganglion cyst
Explanation: Ganglion cysts are benign, non-cancerous growths that can occur",2,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Wrist pain, Skin growth, Wrist lump or mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Epididymitis 2) Cardiomyopathy 3) Ganglion cyst 4) Open wound of the hand",Ganglion cyst,3,5,"3) Ganglion cyst
Explanation: Ganglion cysts are benign, non-cancerous growths that can occur",3,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Wrist pain, Skin growth, Wrist lump or mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the hand 2) Cardiomyopathy 3) Epididymitis 4) Ganglion cyst",Ganglion cyst,4,5,"4) Ganglion cyst
Explanation: Ganglion cysts are benign, non-cancerous growths that can occur",4,same
"A patient is presenting with the following symptoms: Knee pain, pain, Knee swelling, Joint pain, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the knee 2) Cyst of the eyelid 3) Acute kidney injury 4) Hemangioma",Dislocation of the knee,1,5,"1) Dislocation of the knee
Explanation: The patient is presenting with symptoms of knee pain, swelling, stiffness,",1,same
"A patient is presenting with the following symptoms: Knee pain, pain, Knee swelling, Joint pain, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Dislocation of the knee 3) Acute kidney injury 4) Cyst of the eyelid",Dislocation of the knee,2,5,"2) Dislocation of the knee
Explanation: The symptoms of knee pain, swelling, stiffness, and joint pain are",2,same
"A patient is presenting with the following symptoms: Knee pain, pain, Knee swelling, Joint pain, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute kidney injury 2) Hemangioma 3) Dislocation of the knee 4) Cyst of the eyelid",Dislocation of the knee,3,5,"3) Dislocation of the knee
Explanation: The symptoms of knee pain, swelling, stiffness, and tightness are",3,same
"A patient is presenting with the following symptoms: Knee pain, pain, Knee swelling, Joint pain, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute kidney injury 2) Hemangioma 3) Cyst of the eyelid 4) Dislocation of the knee",Dislocation of the knee,4,5,"4) Dislocation of the knee
Explanation: The symptoms of knee pain, swelling, stiffness, and tightness are",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Diarrhea, Vomiting, Nausea, Burning abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Crohn disease 2) Melanoma 3) Marijuana abuse 4) Dislocation of the patella",Crohn disease,1,5,"1) Crohn disease
Explanation: The symptoms of sharp abdominal pain, diarrhea, vomiting, nausea, and burning abdominal",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Diarrhea, Vomiting, Nausea, Burning abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marijuana abuse 2) Crohn disease 3) Dislocation of the patella 4) Melanoma",Crohn disease,2,5,"2) Crohn disease
Explanation: The symptoms of sharp abdominal pain, diarrhea, vomiting, nausea, and burning abdominal",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Diarrhea, Vomiting, Nausea, Burning abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the patella 2) Marijuana abuse 3) Crohn disease 4) Melanoma",Crohn disease,3,5,"3) Crohn disease
Explanation: The symptoms of sharp abdominal pain, diarrhea, vomiting, nausea, and burning abdominal",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Diarrhea, Vomiting, Nausea, Burning abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marijuana abuse 2) Dislocation of the patella 3) Melanoma 4) Crohn disease",Crohn disease,4,5,"4) Crohn disease
Explanation: The symptoms of sharp abdominal pain, diarrhea, vomiting, nausea, and burning abdominal",4,same
"A patient is presenting with the following symptoms: Fever, Abnormal appearing skin, Sharp abdominal pain, Skin on leg or foot looks infected, Skin swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Postoperative infection 2) Cervical cancer 3) Acute stress reaction 4) Temporomandibular joint disorder",Postoperative infection,1,5,"1) Postoperative infection
Explanation: The patient is presenting with symptoms of fever, abnormal appearing skin, sharp abdominal pain",1,same
"A patient is presenting with the following symptoms: Fever, Abnormal appearing skin, Sharp abdominal pain, Skin on leg or foot looks infected, Skin swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute stress reaction 2) Postoperative infection 3) Cervical cancer 4) Temporomandibular joint disorder",Postoperative infection,2,5,"2) Postoperative infection
Explanation: The patient is presenting with symptoms of fever, abnormal appearing skin, sharp abdominal pain",2,same
"A patient is presenting with the following symptoms: Fever, Abnormal appearing skin, Sharp abdominal pain, Skin on leg or foot looks infected, Skin swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervical cancer 2) Temporomandibular joint disorder 3) Postoperative infection 4) Acute stress reaction",Postoperative infection,3,5,"3) Postoperative infection
Explanation: The patient is presenting with symptoms of fever, abnormal appearing skin, sharp abdominal pain",3,same
"A patient is presenting with the following symptoms: Fever, Abnormal appearing skin, Sharp abdominal pain, Skin on leg or foot looks infected, Skin swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervical cancer 2) Acute stress reaction 3) Temporomandibular joint disorder 4) Postoperative infection",Postoperative infection,4,5,"4) Postoperative infection
Explanation: The patient is presenting with symptoms of fever, abnormal appearing skin, sharp abdominal pain",4,same
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Sharp abdominal pain, Weakness, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Folate deficiency 2) Open wound of the shoulder 3) Impulse control disorder 4) Bone cancer",Folate deficiency,1,5,"4) Bone cancer
Explanation: The patient's symptoms, including shortness of breath, sharp chest pain, and sharp",4,different
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Sharp abdominal pain, Weakness, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bone cancer 2) Folate deficiency 3) Impulse control disorder 4) Open wound of the shoulder",Folate deficiency,2,5,"1) Bone cancer
Explanation: The patient's symptoms, including shortness of breath, sharp chest pain, and sharp",1,different
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Sharp abdominal pain, Weakness, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the shoulder 2) Impulse control disorder 3) Folate deficiency 4) Bone cancer",Folate deficiency,3,5,"4) Bone cancer
Explanation: The patient's symptoms, including shortness of breath, sharp chest pain, and sharp",4,different
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Sharp abdominal pain, Weakness, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the shoulder 2) Bone cancer 3) Impulse control disorder 4) Folate deficiency",Folate deficiency,4,5,"2) Bone cancer
Explanation: The patient's symptoms, including shortness of breath, sharp chest pain, and sharp",2,different
"A patient is presenting with the following symptoms: Shortness of breath, Peripheral edema, Sharp abdominal pain, Fluid retention, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fluid overload 2) Abscess of the pharynx 3) Lice 4) Cranial nerve palsy",Fluid overload,1,5,"1) Fluid overload
Explanation: The patient is presenting with symptoms of fluid retention, such as shortness of breath,",1,same
"A patient is presenting with the following symptoms: Shortness of breath, Peripheral edema, Sharp abdominal pain, Fluid retention, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lice 2) Fluid overload 3) Abscess of the pharynx 4) Cranial nerve palsy",Fluid overload,2,5,"2) Fluid overload
Explanation: The patient is presenting with symptoms of fluid retention, such as shortness of breath,",2,same
"A patient is presenting with the following symptoms: Shortness of breath, Peripheral edema, Sharp abdominal pain, Fluid retention, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Abscess of the pharynx 2) Cranial nerve palsy 3) Fluid overload 4) Lice",Fluid overload,3,5,"3) Fluid overload
Explanation: The patient is presenting with symptoms of fluid retention, such as shortness of breath,",3,same
"A patient is presenting with the following symptoms: Shortness of breath, Peripheral edema, Sharp abdominal pain, Fluid retention, Leg swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lice 2) Cranial nerve palsy 3) Abscess of the pharynx 4) Fluid overload",Fluid overload,4,5,"4) Fluid overload
Explanation: The patient is presenting with symptoms of fluid retention, such as shortness of breath,",4,same
"A patient is presenting with the following symptoms: Irregular heartbeat, Increased heart rate, Palpitations, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrial flutter 2) Pyloric stenosis 3) Astigmatism 4) Pharyngitis",Atrial flutter,1,5,"1) Atrial flutter
Explanation: The patient's symptoms, including irregular heartbeat, increased heart rate, palpitations,",1,same
"A patient is presenting with the following symptoms: Irregular heartbeat, Increased heart rate, Palpitations, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Astigmatism 2) Atrial flutter 3) Pharyngitis 4) Pyloric stenosis",Atrial flutter,2,5,"2) Atrial flutter
Explanation: The symptoms described, such as irregular heartbeat, increased heart rate, palpitations,",2,same
"A patient is presenting with the following symptoms: Irregular heartbeat, Increased heart rate, Palpitations, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Astigmatism 2) Pharyngitis 3) Atrial flutter 4) Pyloric stenosis",Atrial flutter,3,5,"3) Atrial flutter
Explanation: The symptoms of irregular heartbeat, increased heart rate, palpitations, shortness of",3,same
"A patient is presenting with the following symptoms: Irregular heartbeat, Increased heart rate, Palpitations, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pharyngitis 2) Pyloric stenosis 3) Astigmatism 4) Atrial flutter",Atrial flutter,4,5,"4) Atrial flutter
Explanation: The symptoms described, such as irregular heartbeat, increased heart rate, palpitations,",4,same
"A patient is presenting with the following symptoms: Skin lesion, Abnormal appearing skin, Skin rash, Skin moles, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Skin disorder 2) Coagulation (bleeding) disorder 3) Chancroid 4) Avascular necrosis",Skin disorder,1,5,"1) Skin disorder
Explanation: The patient is presenting with symptoms related to skin lesions, rashes, and growths",1,same
"A patient is presenting with the following symptoms: Skin lesion, Abnormal appearing skin, Skin rash, Skin moles, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Coagulation (bleeding) disorder 2) Skin disorder 3) Avascular necrosis 4) Chancroid",Skin disorder,2,5,"2) Skin disorder
Explanation: The patient is presenting with symptoms related to skin lesions, rashes, and growths",2,same
"A patient is presenting with the following symptoms: Skin lesion, Abnormal appearing skin, Skin rash, Skin moles, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Coagulation (bleeding) disorder 3) Skin disorder 4) Chancroid",Skin disorder,3,5,"3) Skin disorder
Explanation: The patient is presenting with symptoms related to skin lesions, rashes, and growths",3,same
"A patient is presenting with the following symptoms: Skin lesion, Abnormal appearing skin, Skin rash, Skin moles, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Avascular necrosis 2) Coagulation (bleeding) disorder 3) Chancroid 4) Skin disorder",Skin disorder,4,5,"4) Skin disorder
Explanation: The patient is presenting with symptoms related to skin lesions, rashes, and growths",4,same
