Question,Answer Disease,Answer Index,Number of Symptoms
"A patient is presenting with the following symptoms: Arm pain, Arm lump or mass, Skin rash, Skin growth, Skin on arm or hand looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hidradenitis suppurativa 2) Choledocholithiasis 3) Anxiety 4) Zenker diverticulum",Hidradenitis suppurativa,1,5
"A patient is presenting with the following symptoms: Arm pain, Arm lump or mass, Skin rash, Skin growth, Skin on arm or hand looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Anxiety 2) Hidradenitis suppurativa 3) Zenker diverticulum 4) Choledocholithiasis",Hidradenitis suppurativa,2,5
"A patient is presenting with the following symptoms: Arm pain, Arm lump or mass, Skin rash, Skin growth, Skin on arm or hand looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Choledocholithiasis 2) Anxiety 3) Hidradenitis suppurativa 4) Zenker diverticulum",Hidradenitis suppurativa,3,5
"A patient is presenting with the following symptoms: Arm pain, Arm lump or mass, Skin rash, Skin growth, Skin on arm or hand looks infected. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Anxiety 2) Choledocholithiasis 3) Zenker diverticulum 4) Hidradenitis suppurativa",Hidradenitis suppurativa,4,5
"A patient is presenting with the following symptoms: Fever, Shortness of breath, Joint pain, Fatigue, Chills. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Valley fever 2) Subacute thyroiditis 3) Uveitis 4) Pelvic organ prolapse",Valley fever,1,5
"A patient is presenting with the following symptoms: Fever, Shortness of breath, Joint pain, Fatigue, Chills. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subacute thyroiditis 2) Valley fever 3) Pelvic organ prolapse 4) Uveitis",Valley fever,2,5
"A patient is presenting with the following symptoms: Fever, Shortness of breath, Joint pain, Fatigue, Chills. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic organ prolapse 2) Uveitis 3) Valley fever 4) Subacute thyroiditis",Valley fever,3,5
"A patient is presenting with the following symptoms: Fever, Shortness of breath, Joint pain, Fatigue, Chills. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subacute thyroiditis 2) Pelvic organ prolapse 3) Uveitis 4) Valley fever",Valley fever,4,5
"A patient is presenting with the following symptoms: Eye redness, Cough, Pain in eye, Fever, White discharge from eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Conjunctivitis due to bacteria 2) Bone spur of the calcaneous 3) Amyotrophic lateral sclerosis (ALS) 4) Meniere disease",Conjunctivitis due to bacteria,1,5
"A patient is presenting with the following symptoms: Eye redness, Cough, Pain in eye, Fever, White discharge from eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Amyotrophic lateral sclerosis (ALS) 2) Conjunctivitis due to bacteria 3) Bone spur of the calcaneous 4) Meniere disease",Conjunctivitis due to bacteria,2,5
"A patient is presenting with the following symptoms: Eye redness, Cough, Pain in eye, Fever, White discharge from eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bone spur of the calcaneous 2) Amyotrophic lateral sclerosis (ALS) 3) Conjunctivitis due to bacteria 4) Meniere disease",Conjunctivitis due to bacteria,3,5
"A patient is presenting with the following symptoms: Eye redness, Cough, Pain in eye, Fever, White discharge from eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meniere disease 2) Bone spur of the calcaneous 3) Amyotrophic lateral sclerosis (ALS) 4) Conjunctivitis due to bacteria",Conjunctivitis due to bacteria,4,5
"A patient is presenting with the following symptoms: Disturbance of memory, Delusions or hallucinations, Abnormal involuntary movements, Problems with movement, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lewy body dementia 2) Lymphogranuloma venereum 3) Hypertrophic obstructive cardiomyopathy (HOCM) 4) Marfan syndrome",Lewy body dementia,1,5
"A patient is presenting with the following symptoms: Disturbance of memory, Delusions or hallucinations, Abnormal involuntary movements, Problems with movement, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hypertrophic obstructive cardiomyopathy (HOCM) 2) Lewy body dementia 3) Marfan syndrome 4) Lymphogranuloma venereum",Lewy body dementia,2,5
"A patient is presenting with the following symptoms: Disturbance of memory, Delusions or hallucinations, Abnormal involuntary movements, Problems with movement, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hypertrophic obstructive cardiomyopathy (HOCM) 2) Lymphogranuloma venereum 3) Lewy body dementia 4) Marfan syndrome",Lewy body dementia,3,5
"A patient is presenting with the following symptoms: Disturbance of memory, Delusions or hallucinations, Abnormal involuntary movements, Problems with movement, Loss of sensation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marfan syndrome 2) Hypertrophic obstructive cardiomyopathy (HOCM) 3) Lymphogranuloma venereum 4) Lewy body dementia",Lewy body dementia,4,5
"A patient is presenting with the following symptoms: Heartburn, Blood in stool, Anxiety and nervousness, Increased heart rate, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Marfan syndrome 2) Persistent vomiting of unknown cause 3) Otosclerosis 4) Common cold",Marfan syndrome,1,5
"A patient is presenting with the following symptoms: Heartburn, Blood in stool, Anxiety and nervousness, Increased heart rate, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Common cold 2) Marfan syndrome 3) Otosclerosis 4) Persistent vomiting of unknown cause",Marfan syndrome,2,5
"A patient is presenting with the following symptoms: Heartburn, Blood in stool, Anxiety and nervousness, Increased heart rate, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Common cold 2) Persistent vomiting of unknown cause 3) Marfan syndrome 4) Otosclerosis",Marfan syndrome,3,5
"A patient is presenting with the following symptoms: Heartburn, Blood in stool, Anxiety and nervousness, Increased heart rate, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Common cold 2) Otosclerosis 3) Persistent vomiting of unknown cause 4) Marfan syndrome",Marfan syndrome,4,5
"A patient is presenting with the following symptoms: Weakness, Fatigue, Chills, Problems with movement, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Multiple myeloma 2) Hyperopia 3) Sporotrichosis 4) Chlamydia",Multiple myeloma,1,5
"A patient is presenting with the following symptoms: Weakness, Fatigue, Chills, Problems with movement, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sporotrichosis 2) Multiple myeloma 3) Chlamydia 4) Hyperopia",Multiple myeloma,2,5
"A patient is presenting with the following symptoms: Weakness, Fatigue, Chills, Problems with movement, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sporotrichosis 2) Chlamydia 3) Multiple myeloma 4) Hyperopia",Multiple myeloma,3,5
"A patient is presenting with the following symptoms: Weakness, Fatigue, Chills, Problems with movement, Disturbance of memory. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperopia 2) Sporotrichosis 3) Chlamydia 4) Multiple myeloma",Multiple myeloma,4,5
"A patient is presenting with the following symptoms: Headache, Neck pain, Dizziness, Back pain, Fainting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Head injury 2) Cushing syndrome 3) Lichen simplex 4) Tonsillar hypertrophy",Head injury,1,5
"A patient is presenting with the following symptoms: Headache, Neck pain, Dizziness, Back pain, Fainting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cushing syndrome 2) Head injury 3) Lichen simplex 4) Tonsillar hypertrophy",Head injury,2,5
"A patient is presenting with the following symptoms: Headache, Neck pain, Dizziness, Back pain, Fainting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cushing syndrome 2) Lichen simplex 3) Head injury 4) Tonsillar hypertrophy",Head injury,3,5
"A patient is presenting with the following symptoms: Headache, Neck pain, Dizziness, Back pain, Fainting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cushing syndrome 2) Lichen simplex 3) Tonsillar hypertrophy 4) Head injury",Head injury,4,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Fever, Jaundice, Nausea, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ascending cholangitis 2) Brachial neuritis 3) Open wound of the foot 4) Acanthosis nigricans",Ascending cholangitis,1,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Fever, Jaundice, Nausea, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acanthosis nigricans 2) Ascending cholangitis 3) Open wound of the foot 4) Brachial neuritis",Ascending cholangitis,2,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Fever, Jaundice, Nausea, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Brachial neuritis 2) Open wound of the foot 3) Ascending cholangitis 4) Acanthosis nigricans",Ascending cholangitis,3,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Fever, Jaundice, Nausea, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acanthosis nigricans 2) Open wound of the foot 3) Brachial neuritis 4) Ascending cholangitis",Ascending cholangitis,4,5
"A patient is presenting with the following symptoms: Unpredictable menstruation, Sharp abdominal pain, Heavy menstrual flow, Long menstrual periods, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic irregular menstrual cycle 2) Chancroid 3) Common cold 4) Fracture of the neck",Idiopathic irregular menstrual cycle,1,5
"A patient is presenting with the following symptoms: Unpredictable menstruation, Sharp abdominal pain, Heavy menstrual flow, Long menstrual periods, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Common cold 2) Idiopathic irregular menstrual cycle 3) Chancroid 4) Fracture of the neck",Idiopathic irregular menstrual cycle,2,5
"A patient is presenting with the following symptoms: Unpredictable menstruation, Sharp abdominal pain, Heavy menstrual flow, Long menstrual periods, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chancroid 2) Fracture of the neck 3) Idiopathic irregular menstrual cycle 4) Common cold",Idiopathic irregular menstrual cycle,3,5
"A patient is presenting with the following symptoms: Unpredictable menstruation, Sharp abdominal pain, Heavy menstrual flow, Long menstrual periods, Pelvic pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chancroid 2) Fracture of the neck 3) Common cold 4) Idiopathic irregular menstrual cycle",Idiopathic irregular menstrual cycle,4,5
"A patient is presenting with the following symptoms: Cough, Fever, Nasal congestion, Coryza, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Interstitial lung disease 2) Lewy body dementia 3) Kidney stone 4) Dislocation of the elbow",Interstitial lung disease,1,5
"A patient is presenting with the following symptoms: Cough, Fever, Nasal congestion, Coryza, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Kidney stone 2) Interstitial lung disease 3) Lewy body dementia 4) Dislocation of the elbow",Interstitial lung disease,2,5
"A patient is presenting with the following symptoms: Cough, Fever, Nasal congestion, Coryza, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Kidney stone 2) Lewy body dementia 3) Interstitial lung disease 4) Dislocation of the elbow",Interstitial lung disease,3,5
"A patient is presenting with the following symptoms: Cough, Fever, Nasal congestion, Coryza, Sore throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Kidney stone 2) Dislocation of the elbow 3) Lewy body dementia 4) Interstitial lung disease",Interstitial lung disease,4,5
"A patient is presenting with the following symptoms: Loss of sensation, Foot or toe pain, Paresthesia, Leg pain, Arm pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Mononeuritis 2) Pinworm infection 3) Neurofibromatosis 4) Pelvic inflammatory disease",Mononeuritis,1,5
"A patient is presenting with the following symptoms: Loss of sensation, Foot or toe pain, Paresthesia, Leg pain, Arm pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic inflammatory disease 2) Mononeuritis 3) Neurofibromatosis 4) Pinworm infection",Mononeuritis,2,5
"A patient is presenting with the following symptoms: Loss of sensation, Foot or toe pain, Paresthesia, Leg pain, Arm pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neurofibromatosis 2) Pinworm infection 3) Mononeuritis 4) Pelvic inflammatory disease",Mononeuritis,3,5
"A patient is presenting with the following symptoms: Loss of sensation, Foot or toe pain, Paresthesia, Leg pain, Arm pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neurofibromatosis 2) Pinworm infection 3) Pelvic inflammatory disease 4) Mononeuritis",Mononeuritis,4,5
"A patient is presenting with the following symptoms: Headache, Fever, Ache all over, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Malaria 2) Endometrial cancer 3) Cirrhosis 4) Phimosis",Malaria,1,5
"A patient is presenting with the following symptoms: Headache, Fever, Ache all over, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cirrhosis 2) Malaria 3) Endometrial cancer 4) Phimosis",Malaria,2,5
"A patient is presenting with the following symptoms: Headache, Fever, Ache all over, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cirrhosis 2) Phimosis 3) Malaria 4) Endometrial cancer",Malaria,3,5
"A patient is presenting with the following symptoms: Headache, Fever, Ache all over, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endometrial cancer 2) Cirrhosis 3) Phimosis 4) Malaria",Malaria,4,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Ache all over, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Vulvar disorder 3) Spinal stenosis 4) Acute bronchiolitis",Somatization disorder,1,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Ache all over, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute bronchiolitis 2) Somatization disorder 3) Spinal stenosis 4) Vulvar disorder",Somatization disorder,2,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Ache all over, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vulvar disorder 2) Acute bronchiolitis 3) Somatization disorder 4) Spinal stenosis",Somatization disorder,3,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Ache all over, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute bronchiolitis 2) Vulvar disorder 3) Spinal stenosis 4) Somatization disorder",Somatization disorder,4,5
"A patient is presenting with the following symptoms: Vomiting, Diarrhea, Nausea, Fever, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hypovolemia 2) Varicose veins 3) Acute fatty liver of pregnancy (AFLP) 4) Cerebral palsy",Hypovolemia,1,5
"A patient is presenting with the following symptoms: Vomiting, Diarrhea, Nausea, Fever, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cerebral palsy 2) Hypovolemia 3) Varicose veins 4) Acute fatty liver of pregnancy (AFLP)",Hypovolemia,2,5
"A patient is presenting with the following symptoms: Vomiting, Diarrhea, Nausea, Fever, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Varicose veins 2) Cerebral palsy 3) Hypovolemia 4) Acute fatty liver of pregnancy (AFLP)",Hypovolemia,3,5
"A patient is presenting with the following symptoms: Vomiting, Diarrhea, Nausea, Fever, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute fatty liver of pregnancy (AFLP) 2) Varicose veins 3) Cerebral palsy 4) Hypovolemia",Hypovolemia,4,5
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Delusions or hallucinations, Depression, Anxiety and nervousness, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Schizophrenia 2) Orbital cellulitis 3) Aphthous ulcer 4) Idiopathic painful menstruation",Schizophrenia,1,5
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Delusions or hallucinations, Depression, Anxiety and nervousness, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aphthous ulcer 2) Schizophrenia 3) Orbital cellulitis 4) Idiopathic painful menstruation",Schizophrenia,2,5
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Delusions or hallucinations, Depression, Anxiety and nervousness, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aphthous ulcer 2) Orbital cellulitis 3) Schizophrenia 4) Idiopathic painful menstruation",Schizophrenia,3,5
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Delusions or hallucinations, Depression, Anxiety and nervousness, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Orbital cellulitis 2) Idiopathic painful menstruation 3) Aphthous ulcer 4) Schizophrenia",Schizophrenia,4,5
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Knee stiffness or tightness, Knee weakness, Leg stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Knee ligament or meniscus tear 2) Inguinal hernia 3) Hyperlipidemia 4) Atrophic vaginitis",Knee ligament or meniscus tear,1,5
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Knee stiffness or tightness, Knee weakness, Leg stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Knee ligament or meniscus tear 3) Inguinal hernia 4) Atrophic vaginitis",Knee ligament or meniscus tear,2,5
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Knee stiffness or tightness, Knee weakness, Leg stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Atrophic vaginitis 3) Knee ligament or meniscus tear 4) Inguinal hernia",Knee ligament or meniscus tear,3,5
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Knee stiffness or tightness, Knee weakness, Leg stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Atrophic vaginitis 3) Inguinal hernia 4) Knee ligament or meniscus tear",Knee ligament or meniscus tear,4,5
"A patient is presenting with the following symptoms: Shortness of breath, Dizziness, Sharp chest pain, Palpitations, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endocarditis 2) Poisoning due to ethylene glycol 3) Alzheimer disease 4) Omphalitis",Endocarditis,1,5
"A patient is presenting with the following symptoms: Shortness of breath, Dizziness, Sharp chest pain, Palpitations, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Omphalitis 2) Endocarditis 3) Poisoning due to ethylene glycol 4) Alzheimer disease",Endocarditis,2,5
"A patient is presenting with the following symptoms: Shortness of breath, Dizziness, Sharp chest pain, Palpitations, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Omphalitis 2) Alzheimer disease 3) Endocarditis 4) Poisoning due to ethylene glycol",Endocarditis,3,5
"A patient is presenting with the following symptoms: Shortness of breath, Dizziness, Sharp chest pain, Palpitations, Fatigue. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Alzheimer disease 2) Omphalitis 3) Poisoning due to ethylene glycol 4) Endocarditis",Endocarditis,4,5
"A patient is presenting with the following symptoms: Fever, Depressive or psychotic symptoms, Shortness of breath, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sepsis 2) Trigeminal neuralgia 3) Cystitis 4) Thyroid nodule",Sepsis,1,5
"A patient is presenting with the following symptoms: Fever, Depressive or psychotic symptoms, Shortness of breath, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trigeminal neuralgia 2) Sepsis 3) Cystitis 4) Thyroid nodule",Sepsis,2,5
"A patient is presenting with the following symptoms: Fever, Depressive or psychotic symptoms, Shortness of breath, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thyroid nodule 2) Trigeminal neuralgia 3) Sepsis 4) Cystitis",Sepsis,3,5
"A patient is presenting with the following symptoms: Fever, Depressive or psychotic symptoms, Shortness of breath, Weakness, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trigeminal neuralgia 2) Thyroid nodule 3) Cystitis 4) Sepsis",Sepsis,4,5
"A patient is presenting with the following symptoms: Feeling hot, Chills, Fainting, Vomiting, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Heat stroke 2) High blood pressure 3) Goiter 4) Cryptorchidism",Heat stroke,1,5
"A patient is presenting with the following symptoms: Feeling hot, Chills, Fainting, Vomiting, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Goiter 2) Heat stroke 3) Cryptorchidism 4) High blood pressure",Heat stroke,2,5
"A patient is presenting with the following symptoms: Feeling hot, Chills, Fainting, Vomiting, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Goiter 2) High blood pressure 3) Heat stroke 4) Cryptorchidism",Heat stroke,3,5
"A patient is presenting with the following symptoms: Feeling hot, Chills, Fainting, Vomiting, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) High blood pressure 2) Goiter 3) Cryptorchidism 4) Heat stroke",Heat stroke,4,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea, Vomiting, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cholecystitis 2) Pseudohypoparathyroidism 3) Foreign body in the eye 4) Rabies",Cholecystitis,1,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea, Vomiting, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the eye 2) Cholecystitis 3) Rabies 4) Pseudohypoparathyroidism",Cholecystitis,2,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea, Vomiting, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the eye 2) Rabies 3) Cholecystitis 4) Pseudohypoparathyroidism",Cholecystitis,3,5
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Nausea, Vomiting, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the eye 2) Pseudohypoparathyroidism 3) Rabies 4) Cholecystitis",Cholecystitis,4,5
"A patient is presenting with the following symptoms: Shortness of breath, Difficulty breathing, Sharp chest pain, Weakness, Increased heart rate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cardiac arrest 2) Lymphedema 3) Pituitary adenoma 4) Urinary tract infection",Cardiac arrest,1,5
"A patient is presenting with the following symptoms: Shortness of breath, Difficulty breathing, Sharp chest pain, Weakness, Increased heart rate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lymphedema 2) Cardiac arrest 3) Urinary tract infection 4) Pituitary adenoma",Cardiac arrest,2,5
"A patient is presenting with the following symptoms: Shortness of breath, Difficulty breathing, Sharp chest pain, Weakness, Increased heart rate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pituitary adenoma 2) Urinary tract infection 3) Cardiac arrest 4) Lymphedema",Cardiac arrest,3,5
"A patient is presenting with the following symptoms: Shortness of breath, Difficulty breathing, Sharp chest pain, Weakness, Increased heart rate. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Urinary tract infection 2) Pituitary adenoma 3) Lymphedema 4) Cardiac arrest",Cardiac arrest,4,5
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Fatigue, Peripheral edema, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cardiomyopathy 2) Sensorineural hearing loss 3) Diverticulosis 4) Open wound from surgical incision",Cardiomyopathy,1,5
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Fatigue, Peripheral edema, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sensorineural hearing loss 2) Cardiomyopathy 3) Open wound from surgical incision 4) Diverticulosis",Cardiomyopathy,2,5
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Fatigue, Peripheral edema, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sensorineural hearing loss 2) Open wound from surgical incision 3) Cardiomyopathy 4) Diverticulosis",Cardiomyopathy,3,5
"A patient is presenting with the following symptoms: Shortness of breath, Sharp chest pain, Fatigue, Peripheral edema, Palpitations. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sensorineural hearing loss 2) Open wound from surgical incision 3) Diverticulosis 4) Cardiomyopathy",Cardiomyopathy,4,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Fears and phobias, Insomnia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Social phobia 2) Hirsutism 3) Air embolism 4) Pleural effusion",Social phobia,1,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Fears and phobias, Insomnia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hirsutism 2) Social phobia 3) Air embolism 4) Pleural effusion",Social phobia,2,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Fears and phobias, Insomnia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pleural effusion 2) Air embolism 3) Social phobia 4) Hirsutism",Social phobia,3,5
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Depressive or psychotic symptoms, Fears and phobias, Insomnia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Air embolism 2) Hirsutism 3) Pleural effusion 4) Social phobia",Social phobia,4,5
"A patient is presenting with the following symptoms: Headache, Fever, Vomiting, Neck pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meningitis 2) Uveitis 3) Skin pigmentation disorder 4) Congenital rubella",Meningitis,1,5
"A patient is presenting with the following symptoms: Headache, Fever, Vomiting, Neck pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Uveitis 2) Meningitis 3) Skin pigmentation disorder 4) Congenital rubella",Meningitis,2,5
"A patient is presenting with the following symptoms: Headache, Fever, Vomiting, Neck pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Congenital rubella 2) Skin pigmentation disorder 3) Meningitis 4) Uveitis",Meningitis,3,5
"A patient is presenting with the following symptoms: Headache, Fever, Vomiting, Neck pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Uveitis 2) Skin pigmentation disorder 3) Congenital rubella 4) Meningitis",Meningitis,4,5
"A patient is presenting with the following symptoms: Skin rash, Cough, Fever, Leg pain, Neck pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spherocytosis 2) Acute pancreatitis 3) Corneal disorder 4) Rabies",Spherocytosis,1,5
"A patient is presenting with the following symptoms: Skin rash, Cough, Fever, Leg pain, Neck pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute pancreatitis 2) Spherocytosis 3) Corneal disorder 4) Rabies",Spherocytosis,2,5
"A patient is presenting with the following symptoms: Skin rash, Cough, Fever, Leg pain, Neck pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute pancreatitis 2) Corneal disorder 3) Spherocytosis 4) Rabies",Spherocytosis,3,5
"A patient is presenting with the following symptoms: Skin rash, Cough, Fever, Leg pain, Neck pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rabies 2) Acute pancreatitis 3) Corneal disorder 4) Spherocytosis",Spherocytosis,4,5
"A patient is presenting with the following symptoms: Excessive growth, Headache, Weight gain, Symptoms of eye, Unpredictable menstruation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hormone disorder 2) Fetal alcohol syndrome 3) Tooth abscess 4) Urge incontinence",Hormone disorder,1,5
