Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Penile discharge, Sharp abdominal pain, Vaginal discharge, Vaginal itching. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cryptorchidism 2) Scoliosis 3) Pneumonia 4) Gonorrhea",Gonorrhea,4,4,"4) Gonorrhea
Explanation: Gonorrhea is a sexually transmitted infection that can cause symptoms such as penile discharge, vaginal discharge, and vaginal itching. Sharp abdominal pain can also be a symptom of gonorrhea, particularly if the",4,same
"A patient is presenting with the following symptoms: Rib pain, Sharp chest pain, Back pain, Side pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the rib 2) Retinal detachment 3) Ascending cholangitis 4) Cervical cancer",Fracture of the rib,1,4,"1) Fracture of the rib
Explanation: The patient is presenting with rib pain, sharp chest pain, back pain, and side pain. These symptoms are most consistent with a fracture of the rib. Rib fractures are often caused by trauma",1,same
"A patient is presenting with the following symptoms: Rib pain, Sharp chest pain, Back pain, Side pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Retinal detachment 2) Fracture of the rib 3) Ascending cholangitis 4) Cervical cancer",Fracture of the rib,2,4,"2) Fracture of the rib
Explanation: The patient is presenting with rib pain, sharp chest pain, back pain, and side pain. These symptoms are most consistent with a fracture of the rib. Rib fractures are often caused by trauma",2,same
"A patient is presenting with the following symptoms: Rib pain, Sharp chest pain, Back pain, Side pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervical cancer 2) Ascending cholangitis 3) Fracture of the rib 4) Retinal detachment",Fracture of the rib,3,4,"3) Fracture of the rib
Explanation: The patient is presenting with rib pain, sharp chest pain, back pain, and side pain. These symptoms are most consistent with a fracture of the rib. Rib fractures are often caused by trauma",3,same
"A patient is presenting with the following symptoms: Rib pain, Sharp chest pain, Back pain, Side pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ascending cholangitis 2) Cervical cancer 3) Retinal detachment 4) Fracture of the rib",Fracture of the rib,4,4,"4) Fracture of the rib
Explanation: The patient is presenting with rib pain, sharp chest pain, back pain, and side pain. These symptoms are most consistent with a fracture of the rib. Rib fractures are often caused by trauma",4,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Headache, Eyelid swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ependymoma 2) Dislocation of the ankle 3) Diaper rash 4) Perirectal infection",Ependymoma,1,4,"1) Ependymoma
Explanation: The symptoms of the patient are suggestive of a condition affecting the eye. Ependymoma is a type of brain tumor that can cause vision problems, headaches, and eyelid swelling. The other options",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Headache, Eyelid swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the ankle 2) Ependymoma 3) Diaper rash 4) Perirectal infection",Ependymoma,2,4,"1) Dislocation of the ankle
Explanation: The symptoms of diminished vision, pain in the eye, headache, and eyelid swelling are most consistent with a traumatic injury to the eye, such as a dislocation of the ankle causing a blow",1,different
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Headache, Eyelid swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diaper rash 2) Perirectal infection 3) Ependymoma 4) Dislocation of the ankle",Ependymoma,3,4,"3) Ependymoma
Explanation: The symptoms of diminished vision, pain in the eye, headache, and eyelid swelling are suggestive of a brain tumor, specifically an ependymoma. Ependymomas are a type of brain",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Headache, Eyelid swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Perirectal infection 2) Diaper rash 3) Dislocation of the ankle 4) Ependymoma",Ependymoma,4,4,"1) Perirectal infection
Explanation: The symptoms of the patient are suggestive of orbital cellulitis. Orbital cellulitis is an infection of the tissues surrounding the eye. The symptoms of orbital cellulitis include diminished vision, pain in the eye",1,different
"A patient is presenting with the following symptoms: Sharp abdominal pain, Nausea, Diarrhea, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hepatitis due to a toxin 2) Fracture of the vertebra 3) Blepharospasm 4) Sick sinus syndrome",Hepatitis due to a toxin,1,4,"1) Hepatitis due to a toxin
Explanation: The patient is presenting with sharp abdominal pain, nausea, diarrhea, and vomiting. These symptoms are consistent with hepatitis, which is an inflammation of the liver. Hepatitis can be caused by a",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Nausea, Diarrhea, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Blepharospasm 2) Hepatitis due to a toxin 3) Sick sinus syndrome 4) Fracture of the vertebra",Hepatitis due to a toxin,2,4,"2) Hepatitis due to a toxin
Explanation: The patient is presenting with symptoms of acute abdomen, which includes sharp abdominal pain, nausea, diarrhea, and vomiting. Hepatitis due to a toxin is a condition that can cause these symptoms.",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Nausea, Diarrhea, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Blepharospasm 2) Fracture of the vertebra 3) Hepatitis due to a toxin 4) Sick sinus syndrome",Hepatitis due to a toxin,3,4,"3) Hepatitis due to a toxin
Explanation: Hepatitis is an inflammation of the liver. The symptoms of hepatitis can include sharp abdominal pain, nausea, diarrhea, and vomiting. Hepatitis can be caused by a toxin, such as a",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Nausea, Diarrhea, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Blepharospasm 2) Sick sinus syndrome 3) Fracture of the vertebra 4) Hepatitis due to a toxin",Hepatitis due to a toxin,4,4,"4) Hepatitis due to a toxin
Explanation: The patient is presenting with symptoms of abdominal pain, nausea, diarrhea, and vomiting. These symptoms are consistent with hepatitis, which is an inflammation of the liver. Hepatitis can be caused by",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Spotting or bleeding during pregnancy, Pelvic pain, Vaginal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginal cyst 2) Chronic kidney disease 3) Jaw disorder 4) Trigger finger (finger disorder)",Vaginal cyst,1,4,"1) Vaginal cyst
Explanation: The patient is presenting with sharp abdominal pain, spotting or bleeding during pregnancy, pelvic pain, and vaginal pain. These symptoms are most commonly associated with a vaginal cyst. A vaginal cyst is a fluid-filled",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Spotting or bleeding during pregnancy, Pelvic pain, Vaginal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Jaw disorder 2) Vaginal cyst 3) Chronic kidney disease 4) Trigger finger (finger disorder)",Vaginal cyst,2,4,"2) Vaginal cyst
Explanation: The patient is presenting with symptoms of sharp abdominal pain, spotting or bleeding during pregnancy, pelvic pain, and vaginal pain. These symptoms are most consistent with a vaginal cyst, which is a common condition that",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Spotting or bleeding during pregnancy, Pelvic pain, Vaginal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic kidney disease 2) Trigger finger (finger disorder) 3) Vaginal cyst 4) Jaw disorder",Vaginal cyst,3,4,"3) Vaginal cyst
Explanation: The patient is presenting with symptoms of sharp abdominal pain, spotting or bleeding during pregnancy, pelvic pain, and vaginal pain. These symptoms are most consistent with a vaginal cyst, which is a common condition in",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Spotting or bleeding during pregnancy, Pelvic pain, Vaginal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic kidney disease 2) Jaw disorder 3) Trigger finger (finger disorder) 4) Vaginal cyst",Vaginal cyst,4,4,"4) Vaginal cyst
Explanation: The patient is presenting with symptoms of sharp abdominal pain, spotting or bleeding during pregnancy, pelvic pain, and vaginal pain. These symptoms are most consistent with a vaginal cyst, which is a common condition that",4,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness, Arm swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the shoulder 2) Pituitary disorder 3) Pityriasis rosea 4) Hepatitis due to a toxin",Open wound of the shoulder,1,4,"1) Open wound of the shoulder
Explanation: The patient is presenting with symptoms of shoulder pain, arm pain, shoulder stiffness or tightness, and arm swelling. These symptoms are most consistent with an injury to the shoulder or arm, such as",1,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness, Arm swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pituitary disorder 2) Open wound of the shoulder 3) Hepatitis due to a toxin 4) Pityriasis rosea",Open wound of the shoulder,2,4,"2) Open wound of the shoulder
Explanation: The patient is presenting with symptoms of shoulder pain, arm pain, shoulder stiffness or tightness, and arm swelling. These symptoms are most consistent with an open wound of the shoulder, which could lead",2,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness, Arm swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hepatitis due to a toxin 2) Pituitary disorder 3) Open wound of the shoulder 4) Pityriasis rosea",Open wound of the shoulder,3,4,"3) Open wound of the shoulder
Explanation: The patient is presenting with symptoms of shoulder pain, arm pain, shoulder stiffness or tightness, and arm swelling. These symptoms are most consistent with an open wound of the shoulder, which would cause",3,same
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness, Arm swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pituitary disorder 2) Hepatitis due to a toxin 3) Pityriasis rosea 4) Open wound of the shoulder",Open wound of the shoulder,4,4,"4) Open wound of the shoulder
Explanation: The patient is presenting with symptoms of shoulder pain, arm pain, shoulder stiffness or tightness, and arm swelling. These symptoms are most consistent with an open wound of the shoulder, which would cause",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Spotting or bleeding during pregnancy, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ectopic pregnancy 2) Foreign body in the eye 3) Galactorrhea of unknown cause 4) Open wound of the face",Ectopic pregnancy,1,4,"1) Ectopic pregnancy
Explanation: The patient is presenting with symptoms of sharp abdominal pain, pain during pregnancy, spotting or bleeding during pregnancy, and lower abdominal pain. These symptoms are most consistent with an ectopic pregnancy, which is a",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Spotting or bleeding during pregnancy, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the eye 2) Ectopic pregnancy 3) Galactorrhea of unknown cause 4) Open wound of the face",Ectopic pregnancy,2,4,"2) Ectopic pregnancy
Explanation: The patient is presenting with symptoms of sharp abdominal pain, pain during pregnancy, spotting or bleeding during pregnancy, and lower abdominal pain. These symptoms are most consistent with an ectopic pregnancy, which is a",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Spotting or bleeding during pregnancy, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the face 2) Galactorrhea of unknown cause 3) Ectopic pregnancy 4) Foreign body in the eye",Ectopic pregnancy,3,4,"3) Ectopic pregnancy
Explanation: The patient is presenting with symptoms of sharp abdominal pain, pain during pregnancy, spotting or bleeding during pregnancy, and lower abdominal pain. These symptoms are consistent with an ectopic pregnancy, which is a pregnancy",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Spotting or bleeding during pregnancy, Lower abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the face 2) Foreign body in the eye 3) Galactorrhea of unknown cause 4) Ectopic pregnancy",Ectopic pregnancy,4,4,"4) Ectopic pregnancy
Explanation: The patient is presenting with symptoms of sharp abdominal pain, pain during pregnancy, spotting or bleeding during pregnancy, and lower abdominal pain. These symptoms are consistent with an ectopic pregnancy, which is a pregnancy",4,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Knee swelling, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic knee pain 2) Myopia 3) Gastrointestinal hemorrhage 4) Factitious disorder",Chronic knee pain,1,4,"1) Chronic knee pain
Explanation: The patient is presenting with knee pain, leg pain, knee swelling, and back pain. These symptoms are most consistent with a musculoskeletal disorder, such as chronic knee pain. Myopia is a refr",1,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Knee swelling, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Factitious disorder 2) Chronic knee pain 3) Myopia 4) Gastrointestinal hemorrhage",Chronic knee pain,2,4,"2) Chronic knee pain
Explanation: The patient is presenting with knee pain, leg pain, knee swelling, and back pain. These symptoms are consistent with chronic knee pain, which is a condition characterized by persistent pain and stiffness in the knee joint",2,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Knee swelling, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myopia 2) Factitious disorder 3) Chronic knee pain 4) Gastrointestinal hemorrhage",Chronic knee pain,3,4,"3) Chronic knee pain
Explanation: The patient is presenting with knee pain, leg pain, knee swelling, and back pain. These symptoms are most consistent with chronic knee pain, which is a common condition that can cause pain and swelling in the",3,same
"A patient is presenting with the following symptoms: Knee pain, Leg pain, Knee swelling, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myopia 2) Gastrointestinal hemorrhage 3) Factitious disorder 4) Chronic knee pain",Chronic knee pain,4,4,"4) Chronic knee pain
Explanation: The patient is presenting with knee pain, leg pain, knee swelling, and back pain. These symptoms are consistent with chronic knee pain, which is a common condition characterized by persistent pain and stiffness in the knee",4,same
"A patient is presenting with the following symptoms: Symptoms of eye, Lacrimation, Double vision, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pinguecula 2) Intussusception 3) Sinus bradycardia 4) Lung cancer",Pinguecula,1,4,"1) Pinguecula
Explanation: The symptoms of eye, lacrimation, double vision, and headache are most likely related to a condition affecting the eye. Among the options provided, Pinguecula is a condition that affects the",1,same
"A patient is presenting with the following symptoms: Symptoms of eye, Lacrimation, Double vision, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lung cancer 2) Pinguecula 3) Intussusception 4) Sinus bradycardia",Pinguecula,2,4,"2) Pinguecula
Explanation: The symptoms of eye, lacrimation, double vision, and headache are most likely related to a condition affecting the eye. Among the options provided, Pinguecula is a condition that affects the",2,same
"A patient is presenting with the following symptoms: Symptoms of eye, Lacrimation, Double vision, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sinus bradycardia 2) Lung cancer 3) Pinguecula 4) Intussusception",Pinguecula,3,4,"3) Pinguecula
Explanation: The symptoms of eye, lacrimation, double vision, and headache are most likely related to a condition affecting the eye. Among the options provided, pinguecula is a condition that affects the",3,same
"A patient is presenting with the following symptoms: Symptoms of eye, Lacrimation, Double vision, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sinus bradycardia 2) Intussusception 3) Lung cancer 4) Pinguecula",Pinguecula,4,4,"1) Sinus bradycardia
Explanation: The symptoms described are lacrimation, double vision, and headache. These symptoms are suggestive of a condition that affects the nerves that control eye movement and tear production. The most likely diagnosis",1,different
"A patient is presenting with the following symptoms: Fatigue, Hip stiffness or tightness, Blood in stool, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hypergammaglobulinemia 2) Acute glaucoma 3) Inguinal hernia 4) Rheumatic fever",Hypergammaglobulinemia,1,4,"4) Rheumatic fever
Explanation: Rheumatic fever is a systemic disease that can cause inflammation in various parts of the body, including the joints, heart, skin, and brain. The symptoms of rheumatic fever include joint pain or stiffness,",4,different
"A patient is presenting with the following symptoms: Fatigue, Hip stiffness or tightness, Blood in stool, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acute glaucoma 2) Hypergammaglobulinemia 3) Inguinal hernia 4) Rheumatic fever",Hypergammaglobulinemia,2,4,"4) Rheumatic fever
Explanation: Rheumatic fever is a systemic disease that can cause inflammation in various parts of the body, including the joints. The patient's symptoms of hip and knee stiffness or tightness are consistent with joint inflammation. Additionally",4,different
"A patient is presenting with the following symptoms: Fatigue, Hip stiffness or tightness, Blood in stool, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Acute glaucoma 3) Hypergammaglobulinemia 4) Rheumatic fever",Hypergammaglobulinemia,3,4,"4) Rheumatic fever
Explanation: Rheumatic fever is a systemic disease that can cause inflammation in various parts of the body, including the joints. The patient's symptoms of hip and knee stiffness or tightness are consistent with joint inflammation. Additionally",4,different
"A patient is presenting with the following symptoms: Fatigue, Hip stiffness or tightness, Blood in stool, Knee stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Acute glaucoma 3) Rheumatic fever 4) Hypergammaglobulinemia",Hypergammaglobulinemia,4,4,"3) Rheumatic fever
Explanation: Rheumatic fever is a complication of untreated streptococcal infection, and it can cause joint pain and fatigue. The patient's symptoms of hip and knee stiffness or tightness are consistent with rheumatic",3,different
"A patient is presenting with the following symptoms: Abusing alcohol, Depressive or psychotic symptoms, Drug abuse, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Alcohol abuse 2) Subarachnoid hemorrhage 3) Molluscum contagiosum 4) Prostate cancer",Alcohol abuse,1,4,"1) Alcohol abuse
Explanation: The patient is presenting with symptoms of alcohol abuse, depressive or psychotic symptoms, drug abuse, and depression. The most likely diagnosis is alcohol abuse. Alcohol abuse is a pattern of alcohol use that involves the inability to",1,same
"A patient is presenting with the following symptoms: Abusing alcohol, Depressive or psychotic symptoms, Drug abuse, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subarachnoid hemorrhage 2) Alcohol abuse 3) Prostate cancer 4) Molluscum contagiosum",Alcohol abuse,2,4,"2) Alcohol abuse
Explanation: The patient is presenting with symptoms of alcohol abuse, depressive or psychotic symptoms, drug abuse, and depression. The most likely diagnosis is alcohol abuse. The other options are not related to the symptoms presented. Subar",2,same
"A patient is presenting with the following symptoms: Abusing alcohol, Depressive or psychotic symptoms, Drug abuse, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Subarachnoid hemorrhage 2) Prostate cancer 3) Alcohol abuse 4) Molluscum contagiosum",Alcohol abuse,3,4,"3) Alcohol abuse
Explanation: The patient is presenting with symptoms of alcohol abuse, depressive or psychotic symptoms, drug abuse, and depression. These symptoms are most consistent with alcohol abuse. Alcohol abuse can lead to a variety of physical and mental health",3,same
"A patient is presenting with the following symptoms: Abusing alcohol, Depressive or psychotic symptoms, Drug abuse, Depression. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Molluscum contagiosum 2) Prostate cancer 3) Subarachnoid hemorrhage 4) Alcohol abuse",Alcohol abuse,4,4,"4) Alcohol abuse
Explanation: The patient is presenting with symptoms of alcohol abuse, depressive or psychotic symptoms, drug abuse, and depression. The most likely diagnosis is alcohol abuse. The other options are not related to the symptoms presented. Moll",4,same
"A patient is presenting with the following symptoms: Loss of sensation, Hand or finger pain, Wrist pain, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carpal tunnel syndrome 2) Alcohol withdrawal 3) Marfan syndrome 4) Seborrheic dermatitis",Carpal tunnel syndrome,1,4,"1) Carpal tunnel syndrome. The symptoms of the patient, such as loss of sensation, hand or finger pain, wrist pain, and paresthesia, are consistent with carpal tunnel syndrome. This condition is characterized by compression of the",1,same
"A patient is presenting with the following symptoms: Loss of sensation, Hand or finger pain, Wrist pain, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Seborrheic dermatitis 2) Carpal tunnel syndrome 3) Alcohol withdrawal 4) Marfan syndrome",Carpal tunnel syndrome,2,4,"2) Carpal tunnel syndrome. 

Reasoning skill for Consequence Evaluation: This question requires the ability to evaluate the consequences of a set of symptoms and determine the most likely disease based on those symptoms. The correct answer, Carpal tunnel syndrome",2,same
"A patient is presenting with the following symptoms: Loss of sensation, Hand or finger pain, Wrist pain, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Seborrheic dermatitis 2) Marfan syndrome 3) Carpal tunnel syndrome 4) Alcohol withdrawal",Carpal tunnel syndrome,3,4,"3) Carpal tunnel syndrome. 

Explanation: Carpal tunnel syndrome is a condition that occurs when the median nerve, which runs from the forearm into the palm of the hand, becomes pressed or squeezed at the wrist. The symptoms of carpal",3,same
"A patient is presenting with the following symptoms: Loss of sensation, Hand or finger pain, Wrist pain, Paresthesia. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Seborrheic dermatitis 2) Alcohol withdrawal 3) Marfan syndrome 4) Carpal tunnel syndrome",Carpal tunnel syndrome,4,4,"4) Carpal tunnel syndrome
Explanation: Carpal tunnel syndrome is a condition that affects the wrist and hand, causing numbness, tingling, and pain in the hand and fingers. The symptoms described in the scenario are consistent with carpal",4,same
"A patient is presenting with the following symptoms: Headache, Lack of growth, Pain in eye, Sleepiness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pituitary disorder 2) Mumps 3) Hemolytic anemia 4) Hammer toe",Pituitary disorder,1,4,"1) Pituitary disorder
Explanation: The patient is presenting with headache, lack of growth, pain in eye, and sleepiness. These symptoms are suggestive of a pituitary disorder, specifically a craniopharyngioma,",1,same
"A patient is presenting with the following symptoms: Headache, Lack of growth, Pain in eye, Sleepiness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hammer toe 2) Pituitary disorder 3) Hemolytic anemia 4) Mumps",Pituitary disorder,2,4,"2) Pituitary disorder
Explanation: The symptoms of headache, lack of growth, pain in eye, and sleepiness are suggestive of a pituitary disorder. The pituitary gland is a small gland located at the base of the",2,same
"A patient is presenting with the following symptoms: Headache, Lack of growth, Pain in eye, Sleepiness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hammer toe 2) Mumps 3) Pituitary disorder 4) Hemolytic anemia",Pituitary disorder,3,4,"3) Pituitary disorder
Explanation: The symptoms of headache, lack of growth, pain in eye, and sleepiness are suggestive of a pituitary disorder. The pituitary gland is a small gland located at the base of the",3,same
"A patient is presenting with the following symptoms: Headache, Lack of growth, Pain in eye, Sleepiness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Mumps 2) Hammer toe 3) Hemolytic anemia 4) Pituitary disorder",Pituitary disorder,4,4,"4) Pituitary disorder
Explanation: The symptoms of headache, lack of growth, pain in eye, and sleepiness are suggestive of a pituitary disorder. The pituitary gland is a small gland located at the base of the",4,same
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Back pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Kidney stone 2) Extrapyramidal effect of drugs 3) Post-traumatic stress disorder (PTSD) 4) Lice",Kidney stone,1,4,"1) Kidney stone
Explanation: The patient is presenting with side pain, sharp abdominal pain, back pain, and vomiting. These symptoms are consistent with a kidney stone, which is a small, hard mineral deposit that forms inside the kidney and",1,same
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Back pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Extrapyramidal effect of drugs 2) Kidney stone 3) Post-traumatic stress disorder (PTSD) 4) Lice",Kidney stone,2,4,"2) Kidney stone
Explanation: The patient is presenting with side pain, sharp abdominal pain, back pain, and vomiting. These symptoms are consistent with a kidney stone, which is a small, hard mineral deposit that forms inside the kidney and",2,same
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Back pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Extrapyramidal effect of drugs 2) Post-traumatic stress disorder (PTSD) 3) Kidney stone 4) Lice",Kidney stone,3,4,"3) Kidney stone
Explanation: The patient is presenting with side pain, sharp abdominal pain, back pain, and vomiting. These symptoms are consistent with a kidney stone, which is a small, hard mineral deposit that forms inside the kidney and",3,same
"A patient is presenting with the following symptoms: Side pain, Sharp abdominal pain, Back pain, Vomiting. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Extrapyramidal effect of drugs 2) Lice 3) Post-traumatic stress disorder (PTSD) 4) Kidney stone",Kidney stone,4,4,"4) Kidney stone
Explanation: The patient is presenting with side pain, sharp abdominal pain, back pain, and vomiting. These symptoms are consistent with a kidney stone. Kidney stones are small, hard mineral deposits that form inside the kidneys",4,same
"A patient is presenting with the following symptoms: Seizures, Depressive or psychotic symptoms, Hostile behavior, Lack of growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Autism 2) Open wound of the chest 3) Fungal infection of the hair 4) Mucositis",Autism,1,4,"1) Autism
Explanation: The symptoms described are consistent with Autism Spectrum Disorder (ASD). ASD is a neurodevelopmental disorder characterized by difficulties with social interaction, verbal and nonverbal communication, and repetitive behaviors. Individuals with ASD may also",1,same
"A patient is presenting with the following symptoms: Seizures, Depressive or psychotic symptoms, Hostile behavior, Lack of growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fungal infection of the hair 2) Autism 3) Open wound of the chest 4) Mucositis",Autism,2,4,"2) Autism
Explanation: The symptoms listed are indicative of a neurodevelopmental disorder. The patient is experiencing seizures, which is a common symptom of autism. Additionally, the patient is exhibiting depressive or psychotic symptoms, hostile behavior, and lack of",2,same
"A patient is presenting with the following symptoms: Seizures, Depressive or psychotic symptoms, Hostile behavior, Lack of growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fungal infection of the hair 2) Mucositis 3) Autism 4) Open wound of the chest",Autism,3,4,"3) Autism
Explanation: The symptoms listed are indicative of Autism Spectrum Disorder (ASD). ASD is a neurodevelopmental disorder characterized by difficulties with social interaction, verbal and nonverbal communication, and repetitive behaviors. Individuals with ASD may also",3,same
"A patient is presenting with the following symptoms: Seizures, Depressive or psychotic symptoms, Hostile behavior, Lack of growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the chest 2) Fungal infection of the hair 3) Mucositis 4) Autism",Autism,4,4,"4) Autism
Explanation: The symptoms described are indicative of Autism Spectrum Disorder (ASD). ASD is a neurodevelopmental disorder characterized by difficulties with social interaction, verbal and nonverbal communication, and repetitive behaviors. Individuals with ASD may also",4,same
"A patient is presenting with the following symptoms: Neck swelling, Skin swelling, Groin mass, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cat scratch disease 2) Autonomic nervous system disorder 3) Cervicitis 4) Idiopathic painful menstruation",Cat scratch disease,1,4,"1) Cat scratch disease
Explanation: Cat scratch disease is a bacterial infection caused by Bartonella henselae. It is characterized by a combination of symptoms including neck swelling, skin swelling, and a groin mass. The disease is typically acquired",1,same
"A patient is presenting with the following symptoms: Neck swelling, Skin swelling, Groin mass, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Autonomic nervous system disorder 2) Cat scratch disease 3) Idiopathic painful menstruation 4) Cervicitis",Cat scratch disease,2,4,"2) Cat scratch disease
Explanation: Cat scratch disease is a bacterial infection caused by Bartonella henselae. It is characterized by a combination of symptoms including a skin rash, swollen lymph nodes, and a painful mass in the groin.",2,same
"A patient is presenting with the following symptoms: Neck swelling, Skin swelling, Groin mass, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Autonomic nervous system disorder 2) Cervicitis 3) Cat scratch disease 4) Idiopathic painful menstruation",Cat scratch disease,3,4,"3) Cat scratch disease
Explanation: Cat scratch disease is a bacterial infection caused by Bartonella henselae. The disease is characterized by a combination of symptoms including a skin rash, swollen lymph nodes, and fever. The rash typically appears",3,same
